Year,Month,Article Count,Weight,Sentiment,Relevance,Unique Title Count
2022,12,14,490,-0.05326797385620913,37.875,14
2023,1,14,337,-0.05388888888888882,23.875,14
2023,2,3,47,-0.054901960784313655,17.0,3
2023,3,14,371,-0.029542483660130636,23.283333333333335,14
2023,4,11,153,-0.10529411764705882,12.8125,11
2023,5,13,269,0.003137254901960798,22.2,13
2023,6,16,435,-0.0256354393609295,25.416666666666668,16
2023,7,18,353,-0.05311546840958603,20.405555555555555,18
2023,8,8,259,-0.0013071895424837017,30.611111111111114,8
2023,9,14,281,-0.0357843137254902,21.4375,14
2023,10,11,197,-0.0637254901960784,15.6875,11
2023,11,23,401,-0.053359477124182944,17.11,23
2023,12,15,321,-0.0217086834733894,25.645833333333332,15
2024,1,12,225,-0.14035947712418298,18.895833333333332,12
2024,2,9,156,-0.06588235294117645,15.625,9
2024,3,9,182,0.0381263616557734,21.333333333333332,9
2024,4,11,182,-0.010294117647058901,18.3125,11
2024,5,33,724,0.005445378151260559,21.542857142857144,33
2024,6,23,656,-0.02656395891690005,27.86904761904762,23
2024,7,19,596,-0.047287581699346375,31.195833333333333,19
2024,8,24,681,0.04732026143790845,27.991666666666667,24
2024,9,12,236,-0.0196078431372549,21.208333333333332,12
2024,10,18,432,-0.03869281045751632,24.973333333333333,18
2024,11,10,202,-0.08549019607843132,18.6,10
2024,12,4,72,-0.0333333333333333,18.0,4
