year,month,total_count,items_count,etv,Organic,Paid
2022,12,722,722,1507275.929343002,62861,804
2023,1,722,722,1343462.7532221451,59028,549
2023,2,722,722,958307.7544521205,64054,479
2023,3,722,722,612381.8677709047,61329,443
2023,4,722,722,1517934.0598981737,70299,265
2023,5,722,722,1175218.5566259697,80796,94
2023,6,722,722,2451016.7089484837,89174,44
2023,7,722,722,2186252.573436253,92886,239
2023,8,722,722,877285.6822784916,92901,233
2023,9,722,722,906153.890113445,107110,256
2023,10,722,722,863485.5258470178,107680,153
2023,11,722,722,881504.1209221408,104577,132
2023,12,722,722,969467.2093315199,100775,39
2024,1,722,722,726444.4390347172,94227,34
2024,2,722,722,805511.8264413569,88400,128
2024,3,722,722,792410.2851915043,87533,251
2024,4,722,722,737321.3579764143,85270,344
2024,5,722,722,768643.7982760388,86209,231
2024,6,722,722,1089981.7285189033,89529,182
2024,7,722,722,1186563.9520495776,92288,383
2024,8,722,722,800786.9509903379,93664,153
2024,9,722,722,974244.2873934731,99110,98
2024,10,722,722,978853.2622282244,101542,82
2024,11,722,722,746095.1815513708,99312,45
2024,12,722,722,671955.5212786831,95472,44
